19,37,18
23,37,20
39,21,23
40,25,28
16,21,30
35,30,18
33,12,11
10,39,23
30,32,11
22,25,31
30,29,31
40,11,23
26,13,36
24,31,37
40,38,29
28,17,28
15,15,25
35,39,36
15,32,37
29,11,36
28,35,28
36,34,28
11,24,10
34,33,20
26,35,31
24,10,17
36,19,15
29,23,27
26,16,25
13,34,30
20,15,26
32,40,23
11,15,19
13,12,33
17,28,30
13,11,33
38,12,32
16,22,26
16,24,13
18,18,20
13,20,37
11,27,32
31,36,15
12,13,13
40,36,26
40,31,15
28,34,33
34,25,14
15,22,15
23,23,38
10,30,11
17,30,38
28,16,22
21,15,21
16,14,17
34,36,20
13,17,13
29,20,24
13,21,18
36,38,14
